sede_id,sede,pais,ciudad,estado,sede_tipo,iso_3
CPMON,Consulado  en  Puerto  Montt,REPÚBLICA  DE  CHILE,Puerto  Montt,Activo,Consulado,CHL
CRECI,Consulado  en  Recife,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Recife,Activo,Consulado,BRA
CRIOJ,Consulado  General  en  Rio  de  Janeiro,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Río  de  Janeiro,Activo,Consulado,BRA
CROMA,Consulado  General  en  Roma,REPÚBLICA  ITALIANA,Roma,Activo,Consulado,ITA
CSBAH,Consulado  en  San  Salvador  de  Bahía,REPÚBLICA  FEDERATIVA  DEL  BRASIL,San  Salvador  de  Bahia,Activo,Consulado,BRA
CSCRS,Consulado  General  y  Centro  de  Promoción  en  Santa  Cruz,ESTADO  PLURINACIONAL  DE  BOLIVIA,Santa  Cruz,Activo,Consulado  General  y  Centro  de  Promoción ,BOL
CSHAN,Consulado  General  y  Centro  de  Promoción  en  Shanghai,REPÚBLICA  POPULAR  DE  CHINA,Shanghái,Activo,Consulado  General  y  Centro  de  Promoción ,CHN
CSIDN,Consulado  General  en  Sidney,AUSTRALIA,Sidney,Activo,Consulado,AUS
CSIGO,Consulado  General  en  Santiago,REPÚBLICA  DE  CHILE,Santiago,Activo,Consulado,CHL
CSLTO,Consulado  en  Salto,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Salto,Activo,Consulado,URY
CTARI,Consulado  General  en  Tarija,ESTADO  PLURINACIONAL  DE  BOLIVIA,Tarija,Activo,Consulado,BOL
CTENE,Consulado  en  Tenerife,REINO  DE  ESPAÑA,Tenerife,Activo,Consulado,ESP
CTORO,Consulado  General  en  Toronto,CANADÁ,Toronto,Activo,Consulado,CAN
CURUG,Consulado  en  Uruguayana,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Uruguayana,Activo,Consulado,BRA
CVALP,Consulado  General  en  Valparaíso,REPÚBLICA  DE  CHILE,Valparaíso,Activo,Consulado,CHL
CVIGO,Consulado  General  en  Vigo,REINO  DE  ESPAÑA,Vigo,Activo,Consulado,ESP
CVILL,Consulado  en  Villazon,ESTADO  PLURINACIONAL  DE  BOLIVIA,Villazón,Activo,Consulado,BOL
CYACU,Consulado  en  Yacuiba,ESTADO  PLURINACIONAL  DE  BOLIVIA,Yacuiba,Activo,Consulado,BOL
DIGAC,Argentinos  en  el  exterior,REPÚBLICA  ARGENTINA,Argentinos  en  el  exterior,Activo,Sede  Fija ,ARG
EALEM,Embajada  en  Alemania,REPÚBLICA  FEDERAL  DE  ALEMANIA,Berlín,Activo,Embajada,DEU
EANGO,Embajada  en  Angola,REPÚBLICA  DE  ANGOLA,Luanda,Activo,Embajada,AGO
EARAB,Embajada  en  Arabia  Saudita,REINO  DE  ARABIA  SAUDITA,Riad,Activo,Embajada,SAU
EARGE,Embajada  en  Argelia,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,Argel,Activo,Embajada,DZA
EARME,Embajada  en  Armenia,REPÚBLICA  DE  ARMENIA,Ereván,Activo,Embajada,ARM
EASIR,Embajada  en  Siria,REPÚBLICA  ÁRABE  SIRIA,Damasco,Activo,Embajada,SYR
EAUST,Embajada  en  Australia,AUSTRALIA,Canberra,Activo,Embajada,AUS
EAZER,Embajada  en  Azerbaiyán,REPÚBLICA  DE  AZERBAIYÁN,Baku,Activo,Embajada,AZE
EBANG,Embajada  en  Bangladesh,REPÚBLICA  POPULAR  DE  BANGLADESH,Daca,Activo,Embajada,BGD
EBARB,Embajada  en  Barbados,BARBADOS,Bridgetown,Activo,Embajada,BRB
EBELG,Embajada  en  Bélgica,Reino  de  Bélgica,Bruselas,Activo,Embajada,BEL
EBOLV,Embajada  en  Bolivia,ESTADO  PLURINACIONAL  DE  BOLIVIA,La  Paz,Activo,Embajada,BOL
EBRAS,Embajada  en  Brasil,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Brasilia,Activo,Embajada,BRA
EBULG,Embajada  en  Bulgaria,REPÚBLICA  DE  BULGARIA,Sofía,Activo,Embajada,BGR
ECANA,Embajada  en  Canadá,CANADÁ,Ottawa,Activo,Embajada,CAN
ECEUR,Embajada  ante  la  Unión  Europea,Reino  de  Bélgica,Bruselas,Activo,Misión  Permanente ,BEL
ECHES,Embajada  en  República  Checa,REPÚBLICA  CHECA,Praga,Activo,Embajada,CZE
